model,sector,src_n,src_ess,unit_cost,area_Mm2,plug_GBPbn,corr_GBPbn,dr_GBPbn,dr_drop_top1,dr_drop_top5,dr_drop_top10,max_single_contrib_share,sparse
C,Offices,415,393,299,21.98,4.096,0.403,4.498,4.355,4.485,4.535,0.077,False
C,Factories,45,41,130,7.77,0.7,-0.047,0.654,0.7,0.736,0.716,0.288,True
C,Warehouses,104,97,130,27.82,2.233,-0.928,1.305,1.612,2.141,2.42,0.189,False
D,Offices,415,393,299,21.98,4.246,0.263,4.509,4.678,4.744,4.608,0.085,False
D,Factories,45,41,130,7.77,0.715,-0.067,0.647,0.693,0.724,0.731,0.225,True
D,Warehouses,104,97,130,27.82,2.308,-1.329,0.979,1.399,2.228,2.514,0.199,False
